event_start date	Longitude	Latitude	Location_name	Species	susceptible	cases	dead
02/08/2024	13.08	52.53	Dallgow-DÃ¶beritz	Equidae (dom)	2	1	0
02/08/2024	13.14	52.37	Potsdam	Accipitridae (incognita)		1	1
02/08/2024	13.65	52.49	Hoppegarten	Accipitridae (incognita)		1	0
02/08/2024	12.95	52.55	Wustermark	Equidae (dom)	1	1	0
02/08/2024	13.09	52.53	Dallgow-DÃ¶beritz	Equidae (dom)	82	1	0
02/08/2024	14.28	52.48	Vierlinden	Equidae (dom)	7	1	0
02/08/2024	12.49	52.5	Havelsee	Equidae (dom)	1	1	0
02/08/2024	13.8	52.82	Eberswalde	Passeridae (incognita)		1	1
02/08/2024	14.16	51.78	Kolkwitz	Birds		3	3
02/08/2024	14.09	52.48	MÃ¼ncheberg	Equidae (dom)		3	
02/08/2024	14	51.43	Hohenbocka	Equidae (dom)	21	4	0
02/08/2024	14.13	52.8	Oderaue	Equidae (dom)	4	1	0
02/08/2024	13.73	51.37	GroÃŸkmehlen	Equidae (dom)	10	1	0
03/08/2024	12.56	54.14	Marlow	Strigidae (incognita)	3	3	3
03/08/2024	12.05	53.76	GÃ¼lzow-PrÃ¼zen	Equidae (dom)	3	1	1
03/08/2024	12.22	53.78	GÃ¼strow	Strigidae (incognita)		1	1
03/08/2024	14.02	53.729	UeckermÃ¼nde	Strigidae (incognita)	2	2	2
21/08/2024	9.04	50.03	Karlstein a. Main	Passeridae (incognita)		1	1
21/08/2024	11.26	48.56	Schrobenhausen	Equidae (dom)	20	1	0
20/08/2024	9.79	53.58	Hamburg	Equidae (dom)	1	1	0
20/08/2024	10.03	53.46	Hamburg	Equidae (dom)	17	1	0
20/08/2024	10.16	53.64	Hamburg	Accipitridae (incognita)		2	1
07/08/2024	11.14	53	LÃ¼chow (Wendland)	Equidae (dom)	2	1	0
07/08/2024	10.51	52.75	Sprakensehl	Equidae (dom)	10	1	0
07/08/2024	10.44	52.43	Leiferde	Passeridae (incognita)		1	1
07/08/2024	8.08	52.72	Bakum	Equidae (dom)	1	1	0
07/08/2024	10.92	52.59	Brome	Equidae (dom)	3	1	0
07/08/2024	10.06	52.57	Adelheidsdorf	Equidae (dom)	5	1	0
07/08/2024	11.26	53.02	Trebel	Equidae (dom)	4	1	0
07/08/2024	10.48	52.26	Braunschweig	Equidae (dom)	1	1	0
07/08/2024	10.6	52.98	Uelzen	Equidae (dom)	13	1	0
07/08/2024	9.58	52.99	VisselhÃ¶vede	Equidae (dom)	3	1	0
07/08/2024	10.63	52.93	Wrestedt	Equidae (dom)	2	1	0
07/08/2024	9.88	53.44	Rosengarten	Accipitridae (incognita)	1	1	1
07/08/2024	9.64	52.5	Wedemark	Equidae (dom)	1	1	0
07/08/2024	10.6	52.54	Sassenburg	Equidae (dom)	1	1	1
07/08/2024	9.96	52.09	Diekholzen	Strigidae (incognita)		1	1
07/08/2024	10.14	52.57	Wienhausen	Equidae (dom)	57	1	0
07/08/2024	10.03	52.44	Burgdorf	Equidae (dom)	1	1	0
07/08/2024	10.21	52.52	BrÃ¶ckel	Equidae (dom)	14	1	0
07/08/2024	9.64	52.69	Essel	Equidae (dom)	6	1	0
07/08/2024	10.06	53.41	Seevetal	Equidae (dom)	28	1	0
07/08/2024	11.33	52.98	Trebel	Equidae (dom)	4	1	0
07/08/2024	9.98	52.51	Burgdorf	Equidae (dom)	1	1	0
07/08/2024	8.68	53.24	Schwanewede	Equidae (dom)	5	1	0
07/08/2024	9.86	52.57	Burgwedel	Equidae (dom)	1	1	0
07/08/2024	9.93	52.49	Burgwedel	Equidae (dom)	5	1	0
07/08/2024	10.55	52.14	WolfenbÃ¼ttel	Equidae (dom)	9	1	0
07/08/2024	9.53	52.96	VisselhÃ¶vede	Equidae (dom)	16	1	0
07/08/2024	9.1	53.69	Hemmoor	Equidae (dom)	56	1	0
07/08/2024	8.24	53.08	Hatten	Equidae (dom)	40	1	0
07/08/2024	10.75	52.97	Rosche	Equidae (dom)	3	1	0
07/08/2024	9.96	53.39	Seevetal	Equidae (dom)	45	1	0
07/08/2024	10.4	53.36	Barum	Equidae (dom)	5	1	0
07/08/2024	10.7	53.08	Himbergen	Equidae (dom)	11	1	0
07/08/2024	11.12	53.14	Dannenberg (Elbe)	Equidae (dom)	3	1	0
07/08/2024	10.14	53.33	Winsen (Luhe)	Equidae (dom)	3	1	0
07/08/2024	10.69	52.47	OsloÃŸ	Equidae (dom)	42	1	0
07/08/2024	10.61	52.71	HankensbÃ¼ttel	Equidae (dom)	88	1	0
07/08/2024	9.43	53.61	Stade	Equidae (dom)	1	1	0
07/08/2024	10.53	52.64	Wahrenholz	Equidae (dom)	2	1	0
07/08/2024	10.16	52.36	Peine	Equidae (dom)	1	1	0
07/08/2024	10.68	52.47	OsloÃŸ	Equidae (dom)	2	1	0
07/08/2024	8.27	52.62	Lohne (Oldenburg)	Equidae (dom)	70	1	0
07/08/2024	9.43	52.86	Walsrode	Equidae (dom)	4	1	0
07/08/2024	9.85	53.39	Rosengarten	Equidae (dom)	39	1	0
07/08/2024	10.36	52.47	Meinersen	Equidae (dom)	2	1	0
07/08/2024	9.91	53.44	Rosengarten	Equidae (dom)	8	1	0
07/08/2024	10.45	52.39	AdenbÃ¼ttel	Equidae (dom)	1	1	0
07/08/2024	8.6	53.76	Wurster NordseekÃ¼ste	Equidae (dom)	17	1	0
07/08/2024	9.23	52.75	Gandesbergen	Equidae (dom)	2	1	0
07/08/2024	9.17	52.75	Schweringen	Equidae (dom)	2	1	0
07/08/2024	9.91	52.6	HambÃ¼hren	Equidae (dom)	3	1	0
07/08/2024	9.76	52.66	Wietze	Equidae (dom)	21	1	0
07/08/2024	10.59	53.34	Hittbergen	Equidae (dom)	97	1	0
07/08/2024	10.07	52.6	Celle	Equidae (dom)	2	1	0
07/08/2024	10.41	52.85	Suderburg	Equidae (dom)	3	1	0
07/08/2024	9.81	52.5	Burgwedel	Strigidae (incognita)		1	1
07/08/2024	10.13	52.37	Lehrte	Equidae (dom)	1	1	0
07/08/2024	7.21	53.029	Rhede (Ems)	Equidae (dom)	2	1	0
07/08/2024	9.62	52.45	Garbsen	Equidae (dom)	1	1	0
07/08/2024	10.01	52.57	Adelheidsdorf	Equidae (dom)	19	1	0
07/08/2024	7.52	53	Surwold	Equidae (dom)	6	1	0
07/08/2024	10.03	52.44	Burgdorf	Equidae (dom)	1	0	0
07/08/2024	9.64	52.5	Wedemark	Equidae (dom)	5	0	0
07/08/2024	10.54	52.8	Sprakensehl	Equidae (dom)	1	1	0
07/08/2024	10.01	52.57	Adelheidsdorf	Equidae (dom)	68	1	0
07/08/2024	9.7	52.76	Walsrode	Equidae (dom)	17	1	0
07/08/2024	7.6	53.64	Esens	Equidae (dom)	4	1	0
07/08/2024	9.89	52.68	Winsen (Aller)	Equidae (dom)	4	1	0
07/08/2024	8.7	53.42	Beverstedt	Equidae (dom)	6	1	0
07/08/2024	10.01	52.57	Adelheidsdorf	Equidae (dom)	68	1	0
07/08/2024	9.98	52.51	Burgdorf	Equidae (dom)	1	0	0
22/08/2024	7.81	51.66	Hamm	Strigidae (incognita)	2	1	1
22/08/2024	8.74	52.36	Hille	Equidae (dom)	35	1	0
13/09/2024	10.02	54.25	Rumohr	Equidae (dom)	40	1	0
13/09/2024	9.37	54.01	Wacken	Equidae (dom)	5	1	0
13/09/2024	9.659	53.712	Heidgraben	Equidae (dom)	30	1	0
13/09/2024	9.61	54.49	Fahrdorf	Equidae (dom)	41	1	0
13/09/2024	10.08	54	Latendorf	Equidae (dom)	7	1	0
10/09/2024	11.57	51.07	Eberstedt	Accipitridae (incognita)	1	1	1
10/09/2024	11.02	51.02	Erfurt	Psittacidae (incognita)	9	1	1
16/09/2024	9.46	51.18	Guxhagen	Equidae (dom)	1	1	0
16/09/2024	8.73	49.97	Dreieich	Paridae (incognita)	1	1	1
07/10/2024	8.36	49.5	Frankenthal (Pfalz)	Equidae (dom)	1	1	0
